id,city_name,longitude,latitude,confirmed_cases,recovered_cases
1,上海-上海市,121.4878995,31.24916171,334,211
2,云南省-曲靖市,103.7825389,25.52075814,13,8
3,云南省-昆明市,102.7146011,25.0491531,53,32
4,云南省-昭通市,103.7250207,27.34063296,25,6
5,云南省-西双版纳傣族自治州,100.8030383,22.009433,0,0
6,内蒙古自治区-呼伦贝尔市,119.7608218,49.20163605,7,2
7,内蒙古自治区-呼和浩特市,111.6603505,40.82831887,7,2
8,北京-北京市,116.395645,39.92998578,399,178
9,吉林省-吉林市,126.564544,43.87198833,5,4
10,吉林省-长春市,125.3136424,43.89833761,45,22
11,四川省-乐山市,103.7608242,29.60095761,3,2
12,四川省-成都市,104.0679235,30.67994285,143,71
13,四川省-攀枝花市,101.7224232,26.58757126,16,13
14,四川省-达州市,107.4949734,31.21419886,41,11
15,四川省-甘孜藏族自治州,101.9692321,30.05514411,68,10
16,天津-天津市,117.2108131,39.1439299,133,62
17,宁夏回族自治区-吴忠市,106.2082542,37.993561,28,9
18,宁夏回族自治区-银川市,106.2064786,38.50262101,33,31
19,安徽省-合肥市,117.2826991,31.86694226,174,97
20,安徽省-蚌埠市,117.3570799,32.92949891,160,56
21,安徽省-芜湖市,118.3841084,31.36601979,33,26
22,安徽省-阜阳市,115.8209323,32.90121133,155,90
23,山东省-临沂市,118.3407682,35.07240907,49,44
24,山东省-济南市,117.0249671,36.68278473,47,22
25,山东省-济宁市,116.6007976,35.40212166,253,29
26,山东省-烟台市,121.309555,37.53656156,47,18
27,山东省-青岛市,120.3844282,36.1052149,59,35
28,山西省-大同市,113.2905087,40.1137445,12,6
29,山西省-太原市,112.5508636,37.89027705,20,12
30,山西省-运城市,111.0068537,35.03885948,19,16
31,广东省-广州市,113.3076497,23.1200491,339,172
32,广东省-汕头市,116.7286503,23.38390845,25,20
33,广东省-深圳市,114.0259737,22.54605355,416,222
34,广东省-湛江市,110.3650673,21.2574631,22,12
35,广东省-珠海市,113.562447,22.25691465,98,49
36,广西壮族自治区-北海市,109.1226279,21.47271824,44,14
37,广西壮族自治区-桂林市,110.2609201,25.26290125,31,15
38,广西壮族自治区-柳州市,109.4224018,24.32905335,24,11
39,新疆维吾尔自治区-乌鲁木齐市,87.56498774,43.84038035,23,10
40,新疆维吾尔自治区-伊犁哈萨克自治州,81.29785353,43.9222481,0,0
41,新疆维吾尔自治区-克拉玛依市,84.88118019,45.59433107,0,0
42,新疆维吾尔自治区-和田地区,79.93023864,37.11677449,0,0
43,新疆维吾尔自治区-哈密地区,93.52835509,42.85859633,0,0
44,新疆维吾尔自治区-喀什地区,75.99297327,39.47062719,0,0
45,江苏省-南京市,118.7780744,32.0572355,93,52
46,江苏省-徐州市,117.1881066,34.27155343,79,58
47,江苏省-苏州市,120.6199071,31.31798737,87,42
48,江苏省-连云港市,119.1738722,34.60154897,48,18
49,江西省-南昌市,115.8935275,28.689578,229,145
50,江西省-南昌市,115.8935275,28.689578,229,145
51,江西省-赣州市,114.9359091,25.84529554,76,34
52,河北省-唐山市,118.1834506,39.65053092,57,19
53,河北省-石家庄市,114.5220818,38.04895831,28,15
54,河北省-秦皇岛市,119.6043676,39.94546157,10,6
55,河北省-衡水市,115.6862287,37.74692905,8,6
56,河南省-南阳市,112.5428419,33.01141957,155,65
57,河南省-安阳市,114.3518065,36.11026672,53,31
58,河南省-开封市,114.3516421,34.80185418,26,15
59,河南省-驻马店市,114.0491535,32.98315815,139,99
60,浙江省-宁波市,121.579006,29.88525897,157,103
61,浙江省-杭州市,120.2193754,30.25924446,169,111
62,浙江省-温州市,120.6906347,28.00283759,504,268
63,浙江省-金华市,119.6525757,29.10289911,55,36
64,海南省-三亚市,109.5227713,18.25777591,54,30
65,海南省-三沙市,112.3503831,16.84006289,75,47
66,海南省-海口市,110.3308018,20.02207128,39,19
67,湖北省-荆州市,112.2418658,30.33259052,1560,531
68,湖北省-十堰市,110.8012289,32.63699434,656,209
69,湖北省-武汉市,114.3162001,30.58108413,45346,6280
70,湖北省-孝感市,113.9357344,30.92795478,3427,771
71,湖南省-邵阳市,111.4615254,27.23681124,102,81
72,湖南省-怀化市,109.9869588,27.5574829,40,38
73,湖南省-郴州市,113.0377045,25.78226398,39,30
74,湖南省-长沙市,112.9793528,28.21347823,242,125
75,甘肃省-酒泉市,98.50841451,39.74147377,0,0
76,甘肃省-兰州市,103.8233054,36.06422553,36,24
77,甘肃省-平凉地区,106.6889112,35.55011019,9,4
78,甘肃省-定西地区,104.6266376,35.58605624,9,8
79,福建省-泉州市,118.6003623,24.90165238,46,17
80,福建省-莆田市,119.077731,25.44845014,55,22
81,福建省-福州市,119.3302211,26.0471255,71,47
82,西藏自治区-拉萨市,91.1118909,29.66255706,1,1
83,西藏自治区-日喀则地区,88.89148557,29.2690232,0,0
84,西藏自治区-昌都地区,97.18558158,31.14057563,0,0
85,西藏自治区-阿里地区,81.10766869,30.40455659,0,0
86,贵州省-毕节地区,105.3333234,27.40856213,23,10
87,贵州省-贵阳市,106.7091771,26.62990674,36,17
88,贵州省-铜仁地区,109.168558,27.67490269,10,10
89,贵州省-遵义市,106.9312603,27.69996138,32,17
90,辽宁省-大连市,121.5934778,38.94870994,19,9
91,辽宁省-锦州市,121.1477487,41.13087888,12,7
92,辽宁省-葫芦岛市,120.8607576,40.74302988,12,3
93,辽宁省-沈阳市,123.4327909,41.80864478,28,12
94,重庆-重庆市,106.530635,29.54460611,572,316
95,陕西省-安康市,109.0380446,32.70437045,26,16
96,陕西省-汉中市,107.0454776,33.08156898,26,10
97,陕西省-西安市,108.9530983,34.2777999,120,58
98,青海省-海东地区,102.085207,36.51761017,0,0
99,青海省-玉树藏族自治州,97.01331614,33.00623991,0,0
100,青海省-西宁市,101.767921,36.64073861,15,15
101,黑龙江省-哈尔滨市,126.6577169,45.77322463,197,76
102,黑龙江省-大兴安岭地区,124.1961042,51.99178897,2,2
103,黑龙江省-双鸭山市,131.1714017,46.65510206,52,16
104,黑龙江省-绥化市,126.9890946,46.64606393,47,26
105,黑龙江省-齐齐哈尔市,123.9872889,47.34769981,43,16
